2700:
 num     #instances         #bytes  class name (module)
 143:         85515        1368240  net.minecraft.nbt.NBTTagInt
 144:         18312        1318464  org.objectweb.asm.tree.FrameNode
 145:         22860        1280160  org.objectweb.asm.tree.JumpInsnNode
 146:        155639        1245112  java.lang.Object (java.base@25.0.4)
 147:         14041        1235608  net.minecraft.util.text.Style
 148:         38520        1232640  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25.0.4)
 149:         16994        1223568  com.google.common.collect.SingletonImmutableBiMap
 150:         50652        1215648  java.util.LinkedHashMap$LinkedEntrySet (java.base@25.0.4)
 151:         49414        1185936  java.util.Collections$UnmodifiableRandomAccessList (java.base@25.0.4)
 152:          9798        1175760  slimeknights.tconstruct.library.client.texture.MetalColoredTexture
 153:         71843        1149488  [Ljava.security.Principal; (java.base@25.0.4)
 154:         71800        1148800  java.security.SecureClassLoader$CodeSourceKey (java.base@25.0.4)
 155:         71423        1142768  net.minecraft.nbt.NBTTagLong
 156:         61253        1119672  [Lnet.minecraftforge.common.util.INBTSerializable;
 157:         15359        1105848  net.minecraft.entity.ai.attributes.ModifiableAttributeInstance
 158:         22971        1102608  jdk.internal.util.WeakReferenceKey (java.base@25.0.4)
 159:           453        1073120  [C (java.base@25.0.4)
 160:         14863        1070136  net.minecraft.client.renderer.block.model.ModelBlock
 161:         18860        1056160  java.lang.invoke.MethodType (java.base@25.0.4)
 162:          4879        1053864  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinMethodNode
 163:         65820        1053120  net.minecraft.nbt.NBTTagDouble
 164:         21940        1053120  net.minecraftforge.client.model.BakedItemModel
 165:         65536        1048576  net.minecraft.nbt.NBTTagShort
 166:         21761        1044528  net.minecraft.client.gui.recipebook.RecipeList
 167:         14236        1024992  org.embeddedt.vintagefix.impl.model.PileOfQuads
 168:         25398        1015920  com.google.common.collect.RegularImmutableSet
 169:         62224         995584  java.util.HashMap$EntrySet (java.base@25.0.4)
 170:         41261         990264  net.minecraftforge.client.model.PerspectiveMapWrapper
 171:         59553         952848  java.util.jar.Attributes (java.base@25.0.4)
 172:           657         948432  [Lcodechicken.lib.vec.Vertex5;
 173:         38994         935856  net.minecraftforge.client.model.obj.OBJModel$TextureCoordinate
 174:         29201         934432  org.objectweb.asm.Edge
 175:          7496         899520  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
 176:         35048         841152  net.minecraftforge.client.model.MultiModel$Baked$1
 177:         20817         832680  com.creativemd.creativecore.transformer.TransformerNames$MethodName
 178:           653         832272  [Lcodechicken.lib.vec.Vector3;
 179:         25745         823840  net.minecraft.util.registry.RegistrySimple
 180:         25700         822400  com.google.common.collect.MapMakerInternalMap$StrongKeyDummyValueEntry$LinkedStrongKeyDummyValueEntry
 181:         10246         819680  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@25.0.4)
 182:         14462         809872  java.lang.invoke.DirectMethodHandle (java.base@25.0.4)
 183:         25250         808000  xyz.phanta.tconevo.handler.ToolCapabilityHandler$TconEvoCapProvider
 184:          6219         796032  slimeknights.tconstruct.library.client.texture.SimpleColoredTexture
 185:         12351         790464  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25.0.4)
 186:         32823         787752  java.util.Arrays$ArrayList (java.base@25.0.4)
 187:         31262         750288  net.minecraftforge.fml.common.discovery.asm.ModAnnotation$EnumHolder
 188:         46501         744016  com.google.gson.JsonPrimitive
 189:         44335         709360  net.minecraft.client.resources.data.AnimationFrame
 190:         29320         703680  net.minecraftforge.client.model.obj.OBJModel$Normal
 191:         14433         692784  net.minecraftforge.client.model.ModelLoader$VanillaModelWrapper
 192:          9489         683208  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25.0.4)
 193:         10615         679360  org.spongepowered.asm.mixin.transformer.ClassInfo$Field
 194:         12039         674184  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25.0.4)
 195:          3483         668736  org.objectweb.asm.tree.MethodNode
 196:          6408         666432  net.minecraft.item.ItemBlock
 197:          8239         659120  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap
 198:         11672         653632  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 199:         10158         650112  net.minecraft.util.text.TextComponentTranslation
 200:         15224         642792  [Z (java.base@25.0.4)
 201:         26560         637440  java.lang.invoke.ResolvedMethodName (java.base@25.0.4)
 202:         15893         635720  net.minecraft.client.audio.Sound
 203:         26078         625872  org.lwjgl.util.vector.Vector3f
 204:         12807         614736  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet
 205:         12717         610416  stanhebben.zenscript.type.natives.JavaMethod
 206:           914         599584  [Lnet.minecraft.pathfinding.PathPoint;
 207:         10173         569976  [Ljava.util.ArrayList; (java.base@25.0.4)
 208:          8601         550464  net.minecraft.item.crafting.ShapedRecipes
 209:         11456         549888  forestry.arboriculture.models.SimpleModel
 210:          8449         540736  com.google.common.collect.ImmutableSortedMap
 211:         13456         538240  java.lang.ref.WeakReference (java.base@25.0.4)
 212:          6112         537856  micdoodle8.mods.galacticraft.core.blocks.BlockGratingExtendedState$ExtendedStateImplementation
 213:         21900         525600  net.minecraftforge.client.model.BakedItemModel$BakedGuiItemModel
 214:             1         524304  [Lnet.minecraft.nbt.NBTTagDouble;
 215:             1         524304  [Lnet.minecraft.nbt.NBTTagFloat;
 216:             1         524304  [Lnet.minecraft.nbt.NBTTagInt;
 217:             1         524304  [Lnet.minecraft.nbt.NBTTagLong;
 218:             1         524304  [Lnet.minecraft.nbt.NBTTagShort;
 219:         21240         511208  [Ljava.security.cert.Certificate; (java.base@25.0.4)
 220:         12722         508880  org.objectweb.asm.tree.AnnotationNode
 221:          8750         501312  [[F (java.base@25.0.4)
 222:         30938         495008  com.google.common.collect.SingletonImmutableSet
 223:         10155         487440  net.minecraftforge.fml.common.eventhandler.ListenerList$ListenerListInst
 224:          5006         478200  [Ljava.lang.reflect.Field; (java.base@25.0.4)
 225:           794         471680  [Lorg.objectweb.asm.tree.AbstractInsnNode;
 226:          3094         470288  org.spongepowered.asm.mixin.transformer.ClassInfo
 227:          8173         457688  org.objectweb.asm.tree.TypeInsnNode
 228:          4085         457520  com.hbm.render.anim.sedna.BusAnimationKeyframeSedna
 229:          6270         451440  net.minecraftforge.oredict.ShapedOreRecipe
 230:         18314         439536  com.google.common.collect.ImmutableList$SubList
 231:         10824         432960  java.lang.Package (java.base@25.0.4)
 232:          5828         419616  com.cleanroommc.retrosophisticatedbackpacks.capability.BackpackWrapper
 233:          5735         412920  java.util.TreeMap (java.base@25.0.4)
 234:          3395         407400  com.google.common.cache.LocalCache$Segment
 235:         25458         407328  java.lang.ThreadLocal (java.base@25.0.4)
 236:         12432         397824  net.minecraft.world.biome.Biome$SpawnListEntry
 237:          5433         391176  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25.0.4)
 238:          9712         388480  net.minecraft.client.audio.SoundEventAccessor
 239:          9697         387880  net.minecraftforge.registries.ObjectHolderRef
 240:          6914         387184  org.objectweb.asm.tree.LdcInsnNode
 241:         11915         381280  com.creativemd.creativecore.transformer.TransformerNames$FieldName
 242:         15651         375624  org.embeddedt.vintagefix.fastmap.BinaryFastMapKey
