42392:
 num     #instances         #bytes  class name (module)
 176:          1057         177576  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
 177:          4398         175920  org.embeddedt.vintagefix.fastmap.FastMap
 178:          5483         175456  net.minecraft.client.renderer.block.model.ModelResourceLocation
 179:           316         174432  [Ltop.outlands.foundation.trie.TrieNode;
 180:          5411         173152  net.minecraft.block.state.BlockStateContainer
 181:          7186         172464  java.util.LinkedHashMap$LinkedValues (java.base@25.0.4)
 182:          3036         170016  net.minecraft.util.math.AxisAlignedBB
 183:          4220         168800  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl (java.base@25.0.4)
 184:          2967         166152  org.objectweb.asm.tree.IntInsnNode
 185:          2590         165760  net.minecraft.util.text.TextComponentTranslation
 186:         10205         163280  com.google.gson.internal.LazilyParsedNumber
 187:          4079         163160  java.lang.ref.WeakReference (java.base@25.0.4)
 188:          1547         160888  net.minecraft.item.ItemBlock
 189:          6471         155304  [Ljava.security.CodeSigner; (java.base@25.0.4)
 190:          9672         154752  com.google.common.collect.SingletonImmutableList
 191:          2711         151816  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type$Argument
 192:           986         149872  stanhebben.zenscript.type.ZenTypeNative
 193:          4676         149632  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25.0.4)
 194:            26         147872  [Lcodechicken.lib.vec.Vertex5;
 195:          1496         143616  io.netty.channel.DefaultChannelHandlerContext
 196:          2953         141744  com.google.common.collect.MapMakerInternalMap$WeakValueReferenceImpl
 197:          4233         135456  com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet
 198:          1121         134520  com.google.common.cache.LocalCache$Segment
 199:          2070         132480  [Lnet.minecraft.client.model.TexturedQuad;
 200:          2070         132480  net.minecraft.client.model.ModelBox
 201:          1588         131160  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25.0.4)
 202:          2298         128688  jdk.internal.util.SoftReferenceKey (java.base@25.0.4)
 203:          1777         127944  java.util.zip.Inflater (java.base@25.0.4)
 204:           451         126280  org.spongepowered.asm.mixin.transformer.MixinConfig
 205:          3932         125824  net.irisshaders.iris.shaderpack.materialmap.BlockEntry
 206:          1559         124720  org.spongepowered.asm.mixin.transformer.MixinInfo$State
 207:          1937         123968  java.util.WeakHashMap (java.base@25.0.4)
 208:          3020         120800  jdk.internal.reflect.MethodHandleBooleanFieldAccessorImpl (java.base@25.0.4)
 209:          4702         120464  [Ljava.lang.reflect.Constructor; (java.base@25.0.4)
 210:          2132         119392  com.google.common.collect.MapMakerInternalMap$WeakKeyWeakValueEntry
 211:           503         117280  [Lnet.irisshaders.iris.shaderpack.programs.ComputeSource;
 212:          2853         114120  net.minecraftforge.fml.common.versioning.DefaultArtifactVersion
 213:          2815         112600  binnie.botany.genetics.ColorMix
 214:          1743         111552  net.minecraft.stats.StatCrafting
 215:          2787         111480  sun.security.util.ObjectIdentifier (java.base@25.0.4)
 216:          1541         110952  com.google.common.collect.SingletonImmutableBiMap
 217:           245         110408  [Ljava.lang.invoke.MethodHandle; (java.base@25.0.4)
 218:           853         109184  com.pam.harvestcraft.item.items.ItemPamFood
 219:          3248         103936  net.minecraft.world.biome.Biome$SpawnListEntry
 220:          2591         103640  java.math.BigDecimal (java.base@25.0.4)
 221:          2136         102528  net.minecraft.item.crafting.Ingredient
 222:          1583         101312  java.lang.invoke.LambdaForm (java.base@25.0.4)
 223:          3160         101120  github.kasuminova.stellarcore.common.util.NonNullList
 224:          2524         100960  org.spongepowered.asm.util.ClassSignature
 225:          2337          93480  jdk.internal.reflect.MethodHandleIntegerFieldAccessorImpl (java.base@25.0.4)
 226:           972          93312  github.kasuminova.stellarcore.common.util.NBTTagBackingMap
 227:          5770          92320  jdk.proxy3.$Proxy58 (jdk.proxy3)
 228:          4676          91080  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25.0.4)
 229:          2259          90360  com.google.common.collect.ImmutableMapEntry$NonTerminalImmutableBiMapEntry
 230:          5607          89712  com.google.gson.internal.LinkedTreeMap$EntrySet
 231:          3612          87880  [Ljava.lang.reflect.Type; (java.base@25.0.4)
 232:          3604          86496  org.apache.commons.lang3.tuple.ImmutablePair
 233:           626          85136  java.net.URI (java.base@25.0.4)
 234:          2617          83744  java.lang.Class$AnnotationData (java.base@25.0.4)
 235:          1159          83448  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25.0.4)
 236:           453          83352  net.minecraftforge.fml.common.FMLModContainer
 237:          3469          83256  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25.0.4)
 238:           937          82456  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 239:          2019          80760  net.minecraftforge.fml.common.asm.transformers.AccessTransformer$Modifier
 240:          3344          80256  com.creativemd.creativecore.transformer.TransformerNames$ClassName
 241:          3295          79080  it.unimi.dsi.fastutil.objects.ObjectArrayList
 242:           475          76000  net.minecraftforge.fml.common.ModMetadata
 243:          4664          74624  sun.reflect.generics.tree.ClassTypeSignature (java.base@25.0.4)
 244:           581          74368  sun.net.www.protocol.jar.URLJarFile (java.base@25.0.4)
 245:          3081          73944  java.util.ImmutableCollections$List12 (java.base@25.0.4)
 246:          1846          73840  net.minecraft.util.SoundEvent
 247:          3051          73224  java.util.jar.Attributes$Name (java.base@25.0.4)
 248:          1282          71792  sun.reflect.generics.repository.MethodRepository (java.base@25.0.4)
 249:           747          71712  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
 250:          1786          71440  java.util.zip.ZipFile$CleanableResource (java.base@25.0.4)
 251:           744          71424  java.util.jar.JarFile (java.base@25.0.4)
 252:          2220          71040  lucraft.mods.lucraftcore.superpowers.abilities.AbilityGenerator
 253:          4411          70576  net.minecraftforge.fml.common.versioning.ComparableVersion$IntegerItem
 254:          1762          70480  sun.security.util.DerInputStream (java.base@25.0.4)
 255:          1762          70480  sun.security.util.DerValue (java.base@25.0.4)
 256:          2178          69696  java.lang.ref.ReferenceQueue (java.base@25.0.4)
 257:          1739          69560  java.util.Collections$UnmodifiableMap (java.base@25.0.4)
 258:          4255          68080  jdk.proxy3.$Proxy19 (jdk.proxy3)
 259:             2          65568  [Ljdk.internal.ref.PhantomCleanable; (java.base@25.0.4)
 260:          1170          65520  java.lang.invoke.MethodTypeForm (java.base@25.0.4)
 261:          2631          63144  org.spongepowered.asm.mixin.transformer.MethodMapper
 262:          3946          63136  jdk.proxy3.$Proxy71 (jdk.proxy3)
 263:          3918          62688  net.irisshaders.iris.shaderpack.include.AbsolutePackPath
 264:            23          62432  [Lcodechicken.lib.vec.Vector3;
 265:           596          61984  java.util.zip.ZipFile$Source (java.base@25.0.4)
 266:          3816          61056  java.util.TreeMap$Values (java.base@25.0.4)
 267:           949          60736  java.util.EnumMap (java.base@25.0.4)
 268:           948          60672  net.minecraft.item.crafting.ShapedRecipes
 269:          1500          60000  github.kasuminova.stellarcore.shaded.org.jctools.maps.ConcurrentAutoTable$CAT
 270:           574          59696  [Lnet.minecraftforge.fml.common.eventhandler.ListenerList$ListenerListInst;
 271:          1830          58560  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@25.0.4)
 272:           906          57984  java.lang.Package$VersionInfo (java.base@25.0.4)
 273:           895          57280  sun.nio.fs.WindowsPath (java.base@25.0.4)
 274:          1762          56384  sun.security.x509.RDN (java.base@25.0.4)
 275:          1408          56320  org.objectweb.asm.tree.InnerClassNode
 276:          1167          56016  sun.util.locale.BaseLocale (java.base@25.0.4)
 277:          1165          55920  net.minecraftforge.fml.common.patcher.ClassPatch
 278:          1395          55800  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
 279:             3          54984  org.lwjgl.opengl.GLCapabilities
 280:          1365          54600  com.llamalad7.mixinextras.lib.antlr.runtime.atn.ATNConfig
 281:           282          54144  com.google.common.cache.LocalCache
 282:           843          53952  jdk.jfr.ValueDescriptor (jdk.jfr@25.0.4)
 283:           258          53664  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
 284:          3348          53568  jdk.proxy3.$Proxy30 (jdk.proxy3)
 285:          1337          53480  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@25.0.4)
 286:          2211          53064  net.minecraftforge.fml.common.versioning.VersionRange
 287:          1650          52800  jdk.jfr.AnnotationElement (jdk.jfr@25.0.4)
 288:           821          52544  com.google.common.collect.MapMakerInternalMap$WeakKeyWeakValueEntry$LinkedWeakKeyWeakValueEntry
 289:          1077          51696  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation
 290:           646          51680  biomesoplenty.common.world.generator.GeneratorFlora
 291:          1284          51360  sun.reflect.generics.tree.MethodTypeSignature (java.base@25.0.4)
 292:           635          50800  org.objectweb.asm.tree.InvokeDynamicInsnNode
 293:           575          50600  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 294:          1260          50400  java.util.Locale (java.base@25.0.4)
 295:          2088          50112  java.util.ArrayDeque (java.base@25.0.4)
 296:          1545          49440  sun.security.util.DomainName$Rule (java.base@25.0.4)
 297:          3065          49040  java.lang.Float (java.base@25.0.4)
 298:          2032          48768  net.minecraft.scoreboard.ScoreCriteriaStat
 299:          1506          48192  net.minecraftforge.fml.common.versioning.ComparableVersion
 300:           860          48160  org.objectweb.asm.tree.IincInsnNode
 301:           272          47872  net.minecraftforge.fml.common.network.FMLEmbeddedChannel
 302:          1973          47352  javassist.bytecode.Utf8Info
 303:           584          46720  net.minecraftforge.fml.common.discovery.ModCandidate
 304:          2911          46576  java.lang.Double (java.base@25.0.4)
 305:          1929          46296  sun.reflect.generics.factory.CoreReflectionFactory (java.base@25.0.4)
 306:          1443          46176  org.spongepowered.asm.mixin.transformer.MixinInfo$SubType$Standard
 307:           811          45416  biomesoplenty.common.util.config.BOPConfig$ConfigChildObj
 308:           507          44616  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap
 309:           718          44608  [Ljava.lang.Enum; (java.base@25.0.4)
 310:          2770          44320  jdk.proxy3.$Proxy69 (jdk.proxy3)
 311:          1382          44224  com.hbm.render.loader.WaveFrontObjectVAO$VBOBufferData
 312:          1835          44040  java.util.Collections$SetFromMap (java.base@25.0.4)
 313:           610          43920  java.io.FileCleanable (java.base@25.0.4)
 314:           453          43488  com.google.common.collect.ImmutableSetMultimap
 315:           776          43456  lucraft.mods.lucraftcore.superpowers.suitsets.JsonSuitSet$JsonSuitSetSlotInfo
 316:           775          43400  java.util.Hashtable (java.base@25.0.4)
 317:          1777          42648  java.util.zip.Inflater$InflaterZStreamRef (java.base@25.0.4)
 318:           664          42496  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet
 319:           662          42368  com.google.common.collect.ArrayListMultimap
 320:          1762          42288  [Lsun.security.x509.AVA; (java.base@25.0.4)
 321:          1762          42288  sun.security.x509.AVA (java.base@25.0.4)
 322:           188          42112  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Class
 323:          1312          41984  java.lang.invoke.LambdaForm$NamedFunction (java.base@25.0.4)
 324:          1748          41952  net.minecraft.util.text.event.HoverEvent
 325:           238          41888  lucraft.mods.lucraftcore.superpowers.suitsets.JsonSuitSet
 326:           288          41472  com.agricraft.agricore.plant.AgriPlant
 327:          2568          41088  com.google.gson.JsonArray
 328:           512          40960  [Lpaulevs.betternether.biomes.NetherBiome;
 329:          1671          40104  net.minecraftforge.fml.common.versioning.ComparableVersion$ListItem
 330:           358          40096  java.security.Provider$Service (java.base@25.0.4)
 331:           710          39760  org.objectweb.asm.tree.TryCatchBlockNode
 332:           991          39640  org.objectweb.asm.Handle
 333:           375          39000  java.util.jar.JarVerifier (java.base@25.0.4)
 334:          1603          38472  org.spongepowered.asm.mixin.transformer.MixinInfo$DeclaredTarget
 335:          1598          38352  net.irisshaders.iris.shaderpack.option.OptionLocation
 336:           531          38232  net.minecraft.item.ItemArmor$ArmorMaterial
